timestamp,tag,major,room,rssi,distance,raw_distance,mac
2026-04-28T16:29:16.876587,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T16:29:26.809820,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:29:34.294520,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:29:46.805554,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:29:51.802095,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:29:54.873537,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:29:59.903153,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:30:04.305452,Tag-A,60285,unknown,-87.0,10.89,,d6ac03164b2b
2026-04-28T16:30:16.889477,Tag-A,60285,unknown,-87.5,11.36,,d6ac03164b2b
2026-04-28T16:30:34.404281,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:30:52.011911,Tag-A,60285,unknown,-88.0,11.86,,d6ac03164b2b
2026-04-28T16:31:04.296371,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:31:09.311336,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:31:11.873579,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:31:16.828657,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:31:21.807662,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:31:34.327512,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:31:41.793112,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:31:48.231419,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:31:51.806421,Tag-A,60285,unknown,-90.67,14.89,,d6ac03164b2b
2026-04-28T16:31:59.291808,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T16:32:04.312497,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:32:29.384765,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:32:34.307898,Tag-A,60285,unknown,-90.5,14.68,,d6ac03164b2b
2026-04-28T16:32:41.884429,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:32:46.831766,Tag-A,60285,unknown,-88.0,11.86,,d6ac03164b2b
2026-04-28T16:32:59.330571,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:33:29.397804,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:33:34.312361,Tag-A,60285,unknown,-90.25,14.37,,d6ac03164b2b
2026-04-28T16:34:04.328234,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:34:11.792542,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:34:16.840799,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:34:46.839240,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:34:49.898791,Tag-B,40604,unknown,-87.0,10.89,,f7e6ef23cda5
2026-04-28T16:34:55.003921,Tag-B,40604,unknown,-86.5,10.44,,f7e6ef23cda5
2026-04-28T16:35:02.509603,Tag-B,40604,unknown,-86.0,10.0,,f7e6ef23cda5
2026-04-28T16:35:06.815584,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:35:07.410394,Tag-B,40604,unknown,-86.0,10.0,,f7e6ef23cda5
2026-04-28T16:35:13.966588,Tag-A,60285,unknown,-90.5,14.68,,d6ac03164b2b
2026-04-28T16:35:14.974481,Tag-B,40604,unknown,-86.33,10.29,,f7e6ef23cda5
